countyID,LKType,LKName,probText,n_people
14627,LK,Meißen,-85.0,245244.0
9764,SK,Memmingen,100.0,42841.0
10042,LK,Merzig-Wadern,-74.2,103997.0
5158,LK,Mettmann,-59.9,483279.0
9182,LK,Miesbach,85.2,98286.0
9676,LK,Miltenberg,67.80000000000001,128446.0
5770,LK,Minden-Lübbecke,-84.4,313050.0
14522,LK,Mittelsachsen,74.9,312450.0
12064,LK,Märkisch-Oderland,68.8,190714.0
5962,LK,Märkischer,-96.7,416171.0
5116,SK,Mönchengladbach,-78.7,259996.0
9183,LK,Mühldorf,61.8,112034.0
5117,SK,Mülheim,60.6,169278.0
9162,SK,München,68.7,1450381.0
9184,LK,München,65.8,340003.0
5515,SK,Münster,-99.8,310039.0
8225,LK,Neckar-Odenwald-Kreis,91.3,142936.0
9775,LK,Neu-Ulm,97.3,170309.0
9185,LK,Neuburg-Schrobenhausen,61.7,94654.0
9373,LK,Neumarkt,74.4,130385.0
1004,SK,Neumünster,-57.9,79197.0
10043,LK,Neunkirchen,53.0,133735.0
7316,SK,Neustadt,78.5,52999.0
9374,LK,Neustadt,-78.4,95078.0
9575,LK,Neustadt/Aisch-Bad,88.0,98751.0
7138,LK,Neuwied,-66.4,180655.0
3256,LK,Nienburg,82.5,120632.0
1054,LK,Nordfriesland,-84.5,163960.0
16062,LK,Nordhausen,-98.4,85355.0
14730,LK,Nordsachsen,-98.0,197605.0
13074,LK,Nordwestmecklenburg,80.30000000000001,156270.0
3155,LK,Northeim,-77.2,134896.0
9564,SK,Nürnberg,66.60000000000001,509975.0
9574,LK,Nürnberger,80.4,167643.0
9780,LK,Oberallgäu,94.1,152672.0
5374,LK,Oberbergischer,-94.9,273452.0
5119,SK,Oberhausen,-96.0,210934.0
12065,LK,Oberhavel,-85.7,207524.0
12066,LK,Oberspreewald-Lausitz,-90.0,112450.0
6437,LK,Odenwaldkreis,-90.5,97000.0
12067,LK,Oder-Spree,88.9,182397.0
6413,SK,Offenbach,77.9,123734.0
6438,LK,Offenbach,-88.8,347357.0
3403,SK,Oldenburg,-86.4,163830.0
3458,LK,Oldenburg,78.60000000000001,128608.0
5966,LK,Olpe,-96.2,136365.0
8317,LK,Ortenaukreis,51.6,420106.0
3404,SK,Osnabrück,-99.4,162403.0
3459,LK,Osnabrück,-66.4,358079.0
8136,LK,Ostalbkreis,-65.69999999999999,312650.0
9777,LK,Ostallgäu,57.599999999999994,137709.0
3356,LK,Osterholz,-91.6,113579.0
1055,LK,Ostholstein,58.699999999999996,199574.0
12068,LK,Ostprignitz-Ruppin,98.7,99110.0
