countyID,LKType,LKName,probText,n_people
7336,LK,Kusel,-52.6,70997.0
16065,LK,Kyffhäuserkreis,50.6,77110.0
5315,SK,Köln,98.6,1060582.0
6532,LK,Lahn-Dill-Kreis,-52.0,253167.0
7313,SK,Landau,-51.4,45362.0
9181,LK,Landsberg,-51.6,117657.0
9261,SK,Landshut,50.2,69211.0
9274,LK,Landshut,-52.5,154577.0
3457,LK,Leer,-52.400000000000006,167548.0
14713,SK,Leipzig,-52.7,560472.0
14729,LK,Leipzig,50.1,258408.0
5316,SK,Leverkusen,-52.1,163487.0
9478,LK,Lichtenfels,-50.4,66655.0
6533,LK,Limburg-Weilburg,-52.800000000000004,171922.0
9776,LK,Lindau,-53.4,80429.0
5766,LK,Lippe,-53.1,350750.0
8118,LK,Ludwigsburg,99.8,534074.0
7314,SK,Ludwigshafen,-54.1,164718.0
13076,LK,LudwigslustParchim,51.5,214113.0
8336,LK,Lörrach,-51.1,226708.0
1003,SK,Lübeck,99.2,216253.0
3354,LK,Lüchow-Dannenberg,-52.300000000000004,50128.0
3355,LK,Lüneburg,-51.9,180719.0
15003,SK,Magdeburg,-52.400000000000006,235723.0
6435,LK,Main-Kinzig-Kreis,-52.7,411956.0
9677,LK,Main-Spessart,-50.4,126123.0
8128,LK,Main-Tauber-Kreis,-52.0,132181.0
6436,LK,Main-Taunus-Kreis,-52.2,232848.0
7315,SK,Mainz,-50.6,209779.0
7339,LK,Mainz-Bingen,-52.6,208749.0
8222,SK,Mannheim,-51.1,305780.0
15087,LK,Mansfeld-Südharz,-52.0,141408.0
6534,LK,Marburg-Biedenkopf,-51.5,245241.0
7137,LK,Mayen-Koblenz,-53.699999999999996,211925.0
13071,LK,Mecklenburgische,-52.5,262517.0
14627,LK,Meißen,-51.9,245244.0
9764,SK,Memmingen,-52.5,42841.0
10042,LK,Merzig-Wadern,-52.5,103997.0
5158,LK,Mettmann,-52.900000000000006,483279.0
9182,LK,Miesbach,-52.7,98286.0
9676,LK,Miltenberg,-53.1,128446.0
5770,LK,Minden-Lübbecke,-51.5,313050.0
14522,LK,Mittelsachsen,-51.300000000000004,312450.0
12064,LK,Märkisch-Oderland,-51.1,190714.0
5962,LK,Märkischer,98.7,416171.0
5116,SK,Mönchengladbach,96.7,259996.0
9183,LK,Mühldorf,-52.1,112034.0
5117,SK,Mülheim,-53.9,169278.0
9162,SK,München,81.5,1450381.0
9184,LK,München,-53.5,340003.0
5515,SK,Münster,-52.300000000000004,310039.0
8225,LK,Neckar-Odenwald-Kreis,-51.1,142936.0
9775,LK,Neu-Ulm,-54.5,170309.0
9185,LK,Neuburg-Schrobenhausen,-52.900000000000006,94654.0
9373,LK,Neumarkt,-51.300000000000004,130385.0
1004,SK,Neumünster,-51.0,79197.0
10043,LK,Neunkirchen,-53.5,133735.0
7316,SK,Neustadt,-52.800000000000004,52999.0
9374,LK,Neustadt,-50.2,95078.0
9575,LK,Neustadt/Aisch-Bad,-52.0,98751.0
7138,LK,Neuwied,-50.9,180655.0
3256,LK,Nienburg,-51.9,120632.0
1054,LK,Nordfriesland,-52.1,163960.0
16062,LK,Nordhausen,-53.0,85355.0
14730,LK,Nordsachsen,-51.4,197605.0
13074,LK,Nordwestmecklenburg,-54.9,156270.0
3155,LK,Northeim,-53.599999999999994,134896.0
9564,SK,Nürnberg,-53.599999999999994,509975.0
9574,LK,Nürnberger,-52.2,167643.0
9780,LK,Oberallgäu,-53.199999999999996,152672.0
5374,LK,Oberbergischer,-52.400000000000006,273452.0
5119,SK,Oberhausen,-51.6,210934.0
12065,LK,Oberhavel,-52.2,207524.0
12066,LK,Oberspreewald-Lausitz,-50.6,112450.0
6437,LK,Odenwaldkreis,-52.900000000000006,97000.0
12067,LK,Oder-Spree,-53.1,182397.0
6413,SK,Offenbach,-53.8,123734.0
6438,LK,Offenbach,-50.7,347357.0
3403,SK,Oldenburg,-52.800000000000004,163830.0
3458,LK,Oldenburg,-52.2,128608.0
5966,LK,Olpe,-52.5,136365.0
8317,LK,Ortenaukreis,-55.3,420106.0
3404,SK,Osnabrück,-55.3,162403.0
3459,LK,Osnabrück,-53.8,358079.0
8136,LK,Ostalbkreis,98.5,312650.0
9777,LK,Ostallgäu,99.7,137709.0
3356,LK,Osterholz,-52.800000000000004,113579.0
1055,LK,Ostholstein,-52.6,199574.0
12068,LK,Ostprignitz-Ruppin,-51.300000000000004,99110.0
5774,LK,Paderborn,-53.699999999999996,304332.0
9262,SK,Passau,-52.7,50566.0
9275,LK,Passau,-50.5,188336.0
3157,LK,Peine,-52.900000000000006,132320.0
9186,LK,Pfaffenhofen,-53.199999999999996,124128.0
8231,SK,Pforzheim,-54.1,122247.0
1056,LK,Pinneberg,-50.7,307471.0
7317,SK,Pirmasens,-52.800000000000004,40125.0
1057,LK,Plön,-52.0,128304.0
12054,SK,Potsdam,-54.1,167745.0
12069,LK,Potsdam-Mittelmark,-50.2,210910.0
12070,LK,Prignitz,-51.2,77573.0
8216,LK,Rastatt,-53.199999999999996,227474.0
8436,LK,Ravensburg,91.9,279296.0
5562,LK,Recklinghausen,-50.7,617807.0
9276,LK,Regen,-52.5,76812.0
9362,SK,Regensburg,51.1,145465.0
9375,LK,Regensburg,-53.8,189390.0
8119,LK,Rems-Murr-Kreis,-55.0,419456.0
5120,SK,Remscheid,50.4,109499.0
1058,LK,Rendsburg-Eckernförde,-52.6,270378.0
8415,LK,Reutlingen,-53.0,282113.0
5362,LK,Rhein-Erft-Kreis,-53.4,466657.0
7140,LK,Rhein-Hunsrück-Kreis,-55.3,102529.0
5162,LK,Rhein-Kreis,-53.8,450026.0
7141,LK,Rhein-Lahn-Kreis,-53.199999999999996,123543.0
8226,LK,Rhein-Neckar-Kreis,99.7,541859.0
7338,LK,Rhein-Pfalz-Kreis,-52.7,151546.0
5382,LK,Rhein-Sieg-Kreis,-52.300000000000004,596213.0
6439,LK,Rheingau-Taunus-Kreis,-54.9,184114.0
5378,LK,Rheinisch-Bergischer,-52.6,282729.0
9673,LK,Rhön-Grabfeld,-50.3,79723.0
9163,SK,Rosenheim,-54.3,61844.0
9187,LK,Rosenheim,98.7,256074.0
13003,SK,Rostock,-53.4,206011.0
13072,LK,Rostock,-53.5,213473.0
3357,LK,Rotenburg,50.3,163253.0
9576,LK,Roth,-51.9,125140.0
9277,LK,Rottal-Inn,-52.800000000000004,119218.0
8325,LK,Rottweil,96.39999999999999,137500.0
16074,LK,Saale-Holzland-Kreis,-51.0,86184.0
16075,LK,Saale-Orla-Kreis,-52.400000000000006,82951.0
15088,LK,Saalekreis,-55.0,186431.0
16073,LK,Saalfeld-Rudolstadt,-53.5,109278.0
10045,LK,Saar-Pfalz-Kreis,98.9,144584.0
10044,LK,Saarlouis,-50.7,197009.0
3102,SK,Salzgitter,-52.7,101079.0
15089,LK,Salzlandkreis,-52.900000000000006,196695.0
10046,LK,Sankt,-51.2,88892.0
3257,LK,Schaumburg,-51.5,156206.0
1059,LK,Schleswig-Flensburg,-54.699999999999996,196839.0
16066,LK,Schmalkalden-Meiningen,-54.0,124623.0
9565,SK,Schwabach,-51.800000000000004,40428.0
6634,LK,Schwalm-Eder-Kreis,-52.800000000000004,180310.0
9376,LK,Schwandorf,-54.5,144864.0
8326,LK,Schwarzwald-Baar-Kreis,-51.2,209648.0
9662,SK,Schweinfurt,-51.800000000000004,51969.0
9678,LK,Schweinfurt,-54.8,114813.0
13004,SK,Schwerin,-50.2,96800.0
8127,LK,Schwäbisch,-52.5,191614.0
1060,LK,Segeberg,98.4,267503.0
5970,LK,Siegen-Wittgenstein,-51.7,280800.0
8437,LK,Sigmaringen,-51.6,130772.0
5974,LK,Soest,-52.400000000000006,302995.0
5122,SK,Solingen,-51.6,158726.0
16072,LK,Sonneberg,-53.1,56818.0
7318,SK,Speyer,-53.9,50284.0
12071,LK,Spree-Neiße,-50.1,117635.0
3359,LK,Stade,-53.0,200054.0
10041,LK,Stadtverband,-51.6,327380.0
9188,LK,Starnberg,-92.1,133621.0
1061,LK,Steinburg,-51.6,131457.0
5566,LK,Steinfurt,-53.699999999999996,443374.0
15090,LK,Stendal,-51.300000000000004,115262.0
1062,LK,Stormarn,-53.5,239614.0
9263,SK,Straubing,-52.1,46806.0
9278,LK,Straubing-Bogen,-53.1,98806.0
8111,SK,Stuttgart,-53.599999999999994,623738.0
16054,SK,Suhl,-50.9,36778.0
14628,LK,Sächsische,-50.5,247412.0
16068,LK,Sömmerda,-52.2,70600.0
7337,LK,Südliche,-52.1,110526.0
7340,LK,Südwestpfalz,-50.3,96474.0
12072,LK,Teltow-Fläming,-51.9,163553.0
9377,LK,Tirschenreuth,-53.3,73314.0
9189,LK,Traunstein,-53.4,174162.0
7211,SK,Trier,-52.5,114914.0
7235,LK,Trier-Saarburg,-52.5,147999.0
8327,LK,Tuttlingen,-52.300000000000004,136606.0
8416,LK,Tübingen,98.1,221837.0
12073,LK,Uckermark,-51.1,121014.0
3360,LK,Uelzen,-54.199999999999996,93131.0
8421,SK,Ulm,-52.300000000000004,122636.0
5978,LK,Unna,-54.5,396035.0
16064,LK,Unstrut-Hainich-Kreis,-51.6,105273.0
9778,LK,Unterallgäu,-51.0,140419.0
3460,LK,Vechta,-51.5,137866.0
3361,LK,Verden,50.6,134645.0
5166,LK,Viersen,98.1,297661.0
6535,LK,Vogelsbergkreis,-51.0,107256.0
14523,LK,Vogtlandkreis,-53.199999999999996,232318.0
13075,LK,VorpommernGreifswald,-50.9,238358.0
13073,LK,VorpommernRügen,50.6,224820.0
7233,LK,Vulkaneifel,-54.6,60794.0
6635,LK,Waldeck-Frankenberg,-52.5,157592.0
8337,LK,Waldshut,-51.9,167861.0
5570,LK,Warendorf,-51.4,277431.0
16063,LK,Wartburgkreis,-52.6,125655.0
9363,SK,Weiden,-51.0,42055.0
9190,LK,Weilheim-Schongau,-56.4,132906.0
16055,SK,Weimar,-53.5,64131.0
16071,LK,Weimarer,-51.6,82127.0
9577,LK,Weißenburg-Gunzenhausen,-52.6,93342.0
6636,LK,Werra-Meißner-Kreis,-50.1,100715.0
5170,LK,Wesel,98.8,462664.0
3461,LK,Wesermarsch,-52.1,89239.0
7143,LK,Westerwaldkreis,-50.6,200302.0
6440,LK,Wetteraukreis,-50.9,301931.0
6414,SK,Wiesbaden,-53.9,276218.0
3405,SK,Wilhelmshaven,-52.300000000000004,75995.0
15091,LK,Wittenberg,-50.3,128447.0
3462,LK,Wittmund,-52.2,57173.0
3158,LK,Wolfenbüttel,-52.2,120981.0
3103,SK,Wolfsburg,-50.9,124045.0
7319,SK,Worms,-53.0,82102.0
9479,LK,Wunsiedel,-51.7,73185.0
5124,SK,Wuppertal,-52.400000000000006,350046.0
9663,SK,Würzburg,-51.300000000000004,124873.0
9679,LK,Würzburg,-51.6,160427.0
8417,LK,Zollernalbkreis,-53.8,188595.0
7320,SK,Zweibrücken,-52.800000000000004,34260.0
14524,LK,Zwickau,-53.4,324534.0
