,Unnamed: 0,countyID,newInf100k,7DayInf100k,newInf100k_RKI,7DayInf100k_RKI,newInfRaw,7DayInfRaw,newInfRaw_RKI,7DayInfRaw_RKI
356,356,5515,2.652116723547059,12.18695624861078,2.257780472779231,17.73970371469396,8.222596168518066,37.78431728363037,7,55.0
357,357,5570,9.066225196922558,40.24294355358018,11.894849530153444,73.17134710973178,25.15251922607422,111.64640073013304,33,203.0
358,358,5314,13.938159724317083,58.3073940037611,9.723690360058844,57.71480729841378,44.43610763549805,185.8892197494507,31,184.0
359,359,5382,9.83216461494846,41.36358217347826,8.889440518740786,44.78265317931679,58.620643615722656,246.61505418396,53,267.0
360,360,5315,19.040777063840306,71.91652536703785,14.520329404044196,70.99875351457973,201.94305419921875,762.7337230682373,154,753.0
361,361,15091,13.580045474586552,61.63227869767206,22.577405466846248,82.52430963743801,17.443161010742188,79.16481301879882,29,106.0
362,362,5120,9.63734670743952,38.654094434378685,10.959004191819105,47.48901816454945,10.5527982711792,42.32584686470032,12,52.0
363,363,14612,11.955284027813692,48.47622105609805,5.700363168298626,53.50986070886774,65.01582336425781,263.6258091583252,31,291.0
364,364,14625,13.755130266811085,60.429528583363535,0.0,58.77109637480287,42.12825012207031,185.079330078125,0,180.0
365,365,7340,6.942266423150096,29.899384304864103,7.255840951966333,32.133009930136616,6.697482109069824,28.8451320142746,7,31.0
366,366,7337,5.0940649164677945,25.965291629786638,9.047644898033042,44.3334600003619,5.630266189575195,28.69839822673797,10,49.0
